Hoover,http://zotero.org/groups/1051264/items/JQVJMPDU,A Revised Chronology for the Late Seleucids at Antioch (121/0-64 BC),{'date-parts': [['2007']]}
Bellinger,http://zotero.org/groups/1051264/items/B5T597JK,The End of the Seleucids,{'date-parts': [['1949']]}
Chrubasik,http://zotero.org/groups/1051264/items/UN9KQ6TV,The men who would be king: kings and usurpers in the Seleukid Empire,{'date-parts': [['2011']]}
White,http://zotero.org/groups/1051264/items/8X3MUICR,"Appian, The Syrian Wars",{'date-parts': [['2005']]}
Bevan,http://zotero.org/groups/1051264/items/AC2SNUKI,Selucid Dynasty,{'date-parts': [['1911']]}
Boiy,http://zotero.org/groups/1051264/items/5LDKRU62,The Reigns of the Seleucid Kings According to the Babylon King List,{'date-parts': [['2011']]}
Korotayev,http://zotero.org/groups/1051264/items/FAGBCNG6,A Trap At The Escape From The Trap?,{'date-parts': [['2011']]}
Tappenden,http://zotero.org/groups/1051264/items/M2SQ9YGU,The Database of Religious History and the Study of Ancient Mediterranean Religiosity,{'date-parts': [['2016']]}
Ember,http://zotero.org/groups/1051264/items/WUJ3V778,"Risk, Uncertainty, and Violence in Eastern Africa","{'date-parts': [['2013', 3, 1]]}"
Kohler,http://zotero.org/groups/1051264/items/BT5FND6V,Modelling prehispanic Pueblo societies in their ecosystems,{'date-parts': [['2012']]}
Scheffer,http://zotero.org/groups/1051264/items/8QHH4UIB,Loss of resilience preceded transformations of pre-Hispanic Pueblo societies,{'date-parts': [['2021']]}
Henrich,http://zotero.org/groups/1051264/items/UCTSRY2Q,The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous,"{'date-parts': [['2020', 9, 8]]}"
Peregrine,http://zotero.org/groups/1051264/items/U8EEP4RV,Universal patterns in cultural evolution: An empirical analysis using Guttman scaling,{'date-parts': [['2004']]}
Korotayev,http://zotero.org/groups/1051264/items/ZVNPU4WF,Introduction to social macrodynamics: Compact macromodels of the world system growth,{'date-parts': [['2006']]}
Özbay,http://zotero.org/groups/1051264/items/6GMEX26L,The Representation of Emperor as God in Byzantine Mosaics and Frescos,{'date-parts': [['2015']]}
Healy,http://zotero.org/groups/1051264/items/D5CY8PHF,Fuck nuance,{'date-parts': [['2017']]}
Guo,http://zotero.org/groups/1051264/items/LN7YY9EH,Retool AI to forecast and limit wars,"{'date-parts': [['2018', 10]]}"
Schneewind,http://zotero.org/groups/1051264/items/FJ9KSMQ7,"Reconsidering ""Sati in Universal Context""",{'date-parts': [['2007']]}
McAnany,http://zotero.org/groups/1051264/items/7HAEUPQZ,Bellicose rulers and climatological peril? Retrofitting twenty-first-century woes on eighth-century Maya society,{'date-parts': [['2009']]}
Culbert,http://zotero.org/groups/1051264/items/J4R2CSCM,The collapse of Classic Maya civilization,{'date-parts': [['1991']]}
Schwartz,http://zotero.org/groups/1051264/items/EQMAIDB9,s,{'date-parts': [['2010']]}
Meadows,http://zotero.org/groups/1051264/items/YU4W6YSA,The Limits to Growth,{'date-parts': [['1972']]}
Bardi,http://zotero.org/groups/1051264/items/8P7JYN4V,The Seneca Effect: Why Growth is Slow but Collapse is Rapid,"{'date-parts': [['2017', 8, 22]]}"
Thurner,http://zotero.org/groups/1051264/items/VSS5JPV7,Introduction to the theory of complex systems,{'date-parts': [['2018']]}
Rind,http://zotero.org/groups/1051264/items/GC7WSHGH,Complexity and climate,{'date-parts': [['1999']]}
Tainter,http://zotero.org/groups/1051264/items/838MBRQM,The Collapse of Complex Societies,{'date-parts': [['1988']]}
Wilkinson,http://zotero.org/groups/1051264/items/2CFA7SNF,The Rise and Fall of Ancient Egypt,{'date-parts': [['2013']]}
Holling,http://zotero.org/groups/1051264/items/4XHFXEXD,Resilience and adaptive cycles,{'date-parts': [['2002']]}
Faulseit,http://zotero.org/groups/1051264/items/6RT57V55,"Beyond collapse: Archaeological perspectives on resilience, revitalization, and transformation in complex societies",{'date-parts': [['2016']]}
Sedig,http://zotero.org/groups/1051264/items/YCQEX9XH,The decline and reorganization of Southwestern complexity: using resilience theory to examine the collapse of Chaco Canyon,{'date-parts': [['2016']]}
Levitsky,http://zotero.org/groups/1051264/items/VP8YXAEU,How Democracies Die,"{'date-parts': [['2018', 1, 16]]}"
Oyebamiji,http://zotero.org/groups/1051264/items/DPGVGZFP,Emulating global climate change impacts on crop yields,"{'date-parts': [['2015', 12, 1]]}"
