Hoover	A Revised Chronology for the Late Seleucids at Antioch (121/0-64 BC)	2007	No Description	2021-11-08	2021-11-08	http://www.jstor.org/stable/25598397	http://zotero.org/groups/1051264/items/JQVJMPDU
Bellinger	The End of the Seleucids	1949	No Description	2021-11-08	2021-11-08	http://www.seleukidtraces.info/information/bellinger	http://zotero.org/groups/1051264/items/B5T597JK
Chrubasik	The men who would be king: kings and usurpers in the Seleukid Empire	2011	No Description	2021-11-08	2021-11-08	https://ora.ox.ac.uk/objects/uuid:82c05a7a-831d-4f10-9fb0-1221ffc81c3f	http://zotero.org/groups/1051264/items/UN9KQ6TV
White	Appian, The Syrian Wars	2005	No Description	2021-11-08	2021-11-08	https://www.livius.org/sources/content/appian/appian-the-syrian-wars/appian-the-syrian-wars-9/	http://zotero.org/groups/1051264/items/8X3MUICR
Bevan	Selucid Dynasty	1911	No Description	2021-11-08	2021-11-08	https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Seleucid_Dynasty	http://zotero.org/groups/1051264/items/AC2SNUKI
Boiy	The Reigns of the Seleucid Kings According to the Babylon King List	2011	No Description	2021-11-08	2021-11-08	http://www.jstor.org/stable/10.1086/659092	http://zotero.org/groups/1051264/items/5LDKRU62
Korotayev	A Trap At The Escape From The Trap?	2011	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/FAGBCNG6
Tappenden	The Database of Religious History and the Study of Ancient Mediterranean Religiosity	2016	No Description	2021-11-08	2021-11-08	https://journal.equinoxpub.com/JCH/article/view/526	http://zotero.org/groups/1051264/items/M2SQ9YGU
Ember	Risk, Uncertainty, and Violence in Eastern Africa	2013	No Description	2021-11-08	2021-11-08	https://doi.org/10.1007/s12110-012-9157-5	http://zotero.org/groups/1051264/items/WUJ3V778
Kohler	Modelling prehispanic Pueblo societies in their ecosystems	2012	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/BT5FND6V
Scheffer	Loss of resilience preceded transformations of pre-Hispanic Pueblo societies	2021	No Description	2021-11-08	2021-11-08	https://www.pnas.org/content/118/18/e2024397118#sec-5	http://zotero.org/groups/1051264/items/8QHH4UIB
Henrich	The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous	2020	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/UCTSRY2Q
Peregrine	Universal patterns in cultural evolution: An empirical analysis using Guttman scaling	2004	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/U8EEP4RV
Korotayev	Introduction to social macrodynamics: Compact macromodels of the world system growth	2006	No Description	2021-11-08	2021-11-08	https://books.google.ca/books?hl=en&lr=&id=tyoryrjrzUMC&oi=fnd&pg=PA112&dq=,+Introduction+to+Social+Macrodynamics:+compact+macromodels+of+the+world+system+growth,&ots=V_sUh-lf4c&sig=BD6vLg0LNFG45q4Dp9ZBrS_DPyI#v=onepage&q=%252C Introduction to Social Macrod	http://zotero.org/groups/1051264/items/ZVNPU4WF
Özbay	The Representation of Emperor as God in Byzantine Mosaics and Frescos	2015	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/6GMEX26L
Healy	Fuck nuance	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/D5CY8PHF
Guo	Retool AI to forecast and limit wars	2018	No Description	2021-11-08	2021-11-08	https://www.nature.com/articles/d41586-018-07026-4	http://zotero.org/groups/1051264/items/LN7YY9EH
Schneewind	"Reconsidering ""Sati in Universal Context"""	2007	No Description	2021-11-08	2021-11-08	https://www.jstor.org/stable/20079436	http://zotero.org/groups/1051264/items/FJ9KSMQ7
McAnany	Bellicose rulers and climatological peril? Retrofitting twenty-first-century woes on eighth-century Maya society	2009	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/7HAEUPQZ
Culbert	The collapse of Classic Maya civilization	1991	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/J4R2CSCM
Schwartz	s	2010	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/EQMAIDB9
Meadows	The Limits to Growth	1972	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/YU4W6YSA
Bardi	The Seneca Effect: Why Growth is Slow but Collapse is Rapid	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/8P7JYN4V
Thurner	Introduction to the theory of complex systems	2018	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/VSS5JPV7
Rind	Complexity and climate	1999	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/GC7WSHGH
Tainter	The Collapse of Complex Societies	1988	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/838MBRQM
Wilkinson	The Rise and Fall of Ancient Egypt	2013	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/2CFA7SNF
Holling	Resilience and adaptive cycles	2002	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/4XHFXEXD
Faulseit	Beyond collapse: Archaeological perspectives on resilience, revitalization, and transformation in complex societies	2016	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/6RT57V55
Sedig	The decline and reorganization of Southwestern complexity: using resilience theory to examine the collapse of Chaco Canyon	2016	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/YCQEX9XH
Levitsky	How Democracies Die	2018	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/VP8YXAEU
Oyebamiji	Emulating global climate change impacts on crop yields	2015	No Description	2021-11-08	2021-11-08	https://doi.org/10.1177/1471082X14568248	http://zotero.org/groups/1051264/items/DPGVGZFP
Shelach-Lavi	Main Issues in the Study of the Chinese Neolithic	2018	No Description	2021-11-08	2021-11-08	https://www.routledgehandbooks.com/doi/10.4324/9781315773605-2	http://zotero.org/groups/1051264/items/SW5J4HBU
Jackson	The New Science of Religious Change	2021	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/SRSFPJUQ
Varnum	Cultural change: The how and the why	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/EJ5PCWIZ
Lui	Communal drinking rituals and social formations in the Yellow River valley of Neolithic China	2021	No Description	2021-11-08	2021-11-08	https://www.sciencedirect.com/science/article/abs/pii/S027841652100043X?via%3Dihub	http://zotero.org/groups/1051264/items/59Q36EN6
Singh Koli	The Sikh and Sikhism	1993	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/7STXZC7C
No Author	Peter Green - Alexander the great and the hellenistic age-The Orion Publishing Group, ltd. (2007).pdf	0000	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/KY6TNHSZ
Lane Fox	Alexander the Great	2006	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/8ZNXX9CT
Briant	From Cyrus to Alexander: A History of the Persian Empire	2002	No Description	2021-11-08	2021-11-08	https://archive.org/details/FromCyrusToAlexanderAHistoryOfThePersianEmpire/page/n607/mode/2up	http://zotero.org/groups/1051264/items/C9K9R5PC
Tafarodi	When Different Becomes Similar: Compensatory Conformity in Bicultural Visible Minorities	2002	No Description	2021-11-08	2021-11-08	https://doi.org/10.1177/01461672022811011	http://zotero.org/groups/1051264/items/RMB2T85I
Shih	Stereotype Susceptibility: Identity Salience and Shifts in Quantitative Performance	1999	No Description	2021-11-08	2021-11-08	https://doi.org/10.1111/1467-9280.00111	http://zotero.org/groups/1051264/items/EIU3BQA7
Salas	Social Complex Systems as Multiscale Phenomena: From the Genome to Animal Societies.	2021	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/9FVM7JRL
Horton	Zanzibar and Pemba: The Archaeology of an Indian Ocean Archipelago	2021	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/93P35DD6
Juma	Unguja Ukuu	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/RUDF9R44
Juma	Unguja Ukuu on Zanzibar: An archaeological study of early urbanism	2004	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/GGM3RG7F
Stockreiter	Islamic Law, Gender and Social Change in Post-Abolition Zanzibar	2015	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/IR3JV8PD
Sutton	The East African coast: researching its history and archaeology	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/EGD98Q6P
Fleisher	Town and Village	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/PB22FKSS
Walsh	The Swahili language and its early history	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/RIRTGR9C
Beaujard	The Progressive Integration of Eastern Africa into an Afro-Eurasian World-system	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/95EQ2K86
Ray	Defining the Swahili	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/E7KV5BEU
Fitton	Zanzibar	2017	No Description	2021-11-08	2021-11-08		http://zotero.org/groups/1051264/items/VRKMQD48
